epoch,train_loss,train_acc,val_loss,val_acc
0,2.427608093570914,0.6210655627493696,1.574226638012462,0.8948350694444445
1,1.5775961154339604,0.8302488410166868,1.1536678933435016,0.9092447916666666
2,1.109997004387128,0.8833961204275879,0.8314549374911521,0.9282931857638889
3,0.7916094103174269,0.9151134496523249,0.6346162784430716,0.9476236979166667
4,0.5840612341168021,0.9308692953115912,0.5038605703247917,0.9543619791666668
5,0.4673263867433761,0.9448807624133382,0.4738767311804824,0.9630805121527778
6,0.45140370884396286,0.9497859162972314,0.4690807146330674,0.9596788194444446
7,0.43641859365133034,0.9539218076192338,0.44760564698113336,0.9672309027777778
8,0.4215799414980782,0.9550566759838709,0.43220330360862946,0.9721896701388889
9,0.40885759317674464,0.9567562544068765,0.4289524719946914,0.9594021267361111
10,0.397033714916237,0.9582800270316089,0.4143037207424641,0.9638020833333333
11,0.39358933804891166,0.9593340620344483,0.41074648135238223,0.9669487847222222
12,0.39094882340712184,0.9609314930576058,0.4190840515825484,0.9652994791666667
13,0.39174424569288513,0.9591313266994267,0.3998300853702757,0.9695855034722222
14,0.3886725805893152,0.960274125065372,0.4114761780533525,0.9668402777777779
15,0.3879231955665481,0.9621746047315292,0.4247688511179553,0.9626898871527777
16,0.38791695479740385,0.9608562713423774,0.4082446792059475,0.968017578125
17,0.3885434606865689,0.960168708788654,0.4151396660341156,0.9609863281250001
18,0.38636450286062457,0.9615214413150973,0.4099315010839039,0.9683430989583334
19,0.38828374761942125,0.9602659235284651,0.4017664315799872,0.968722873263889
20,0.3864861091632428,0.9606640773001763,0.41651775274011826,0.9665201822916667
21,0.38643405797285946,0.9613993684400288,0.4168350277675523,0.9676703559027778
22,0.3868529646102635,0.9608466735598791,0.40860576108098035,0.9700900607638889
23,0.3877007464296125,0.9606353356842129,0.41539711869425244,0.9676052517361112
24,0.38702671167520375,0.9616850305437521,0.41577107459306717,0.9618218315972222
25,0.38650230757527043,0.9611682194656987,0.4077745628025797,0.9659505208333333
26,0.3878426307441886,0.9601471500729173,0.408115349130498,0.9717230902777777
27,0.3869187808846905,0.9618840430939073,0.4028167766001489,0.9669759114583334
28,0.3871081129134071,0.960304858136724,0.410835613641474,0.9695909288194445
29,0.38656704707039713,0.9619002521735306,0.41278432541423377,0.9668077256944444
30,0.38671745865112966,0.9606377018189195,0.4040344851712386,0.9671603732638888
31,0.38588150215875755,0.9609549434188905,0.40750022985868983,0.9675509982638889
32,0.387052850148913,0.9604438095699566,0.4060239269501633,0.9671440972222222
33,0.3867031751050232,0.9605485972280139,0.40428436514404087,0.9714952256944445
34,0.3876214639308881,0.961375198587097,0.41474944295154675,0.9616590711805556
35,0.3878178117581602,0.9607192741326104,0.4032705154683855,0.9681640625
36,0.38706155564500283,0.9605459289319499,0.41256680281625857,0.9663031684027777
37,0.3868207498071493,0.9612115068814753,0.40853976209958387,0.9601725260416666
38,0.3877083447991525,0.9601946386786182,0.40069896222816576,0.9734971788194443
39,0.38667759775448085,0.9621142288451335,0.40743711168567337,0.9638075086805555
